class,xmin,ymin,xmax,ymax
dash,69,109,110,149
dash,105,90,120,102
dash,115,82,126,87
dash,24,183,66,223
dash,189,102,204,114
dash,171,91,184,98
whole,187,194,201,222
whole,180,173,198,199
whole,173,156,191,179
whole,166,140,182,159
whole,159,124,176,143
whole,152,111,170,127
whole,146,99,164,113
whole,214,179,224,206
whole,208,166,218,188
whole,199,150,211,169
whole,193,133,204,150
whole,181,125,193,138
whole,175,115,180,121
whole,168,105,178,113
whole,174,112,185,129
whole,-3,141,15,155
whole,7,128,26,144
whole,21,120,39,131
whole,34,111,54,121
whole,42,101,58,115
whole,56,93,76,105
whole,73,87,87,97
