# TRAIN_LOSS	VAL_LOSS
29.2446	14.1467
10.1232	5.6453
3.2943	1.4750
1.0171	0.9712
0.7654	0.8049
0.6361	0.6712
0.5381	0.5769
0.4714	0.5092
0.4083	0.4244
0.3328	0.3602
0.2868	0.3118
0.2483	0.2779
0.2233	0.2558
0.2005	0.2292
0.1763	0.2089
0.1566	0.1929
0.1415	0.1794
0.1323	0.1731
0.1273	0.1658
0.1227	0.1588
0.1189	0.1544
0.1160	0.1503
0.1136	0.1468
0.1116	0.1452
0.1097	0.1414
0.1078	0.1392
0.1055	0.1355
0.1030	0.1319
0.1009	0.1293
0.0989	0.1265
0.0972	0.1241
0.0954	0.1213
0.0938	0.1192
0.0920	0.1170
0.0906	0.1155
0.0891	0.1136
0.0873	0.1112
0.0855	0.1076
0.0840	0.1058
0.0825	0.1041
0.0810	0.1015
0.0795	0.0997
0.0780	0.0982
0.0764	0.0957
0.0751	0.0936
0.0734	0.0918
0.0719	0.0898
0.0702	0.0878
0.0685	0.0858
0.0669	0.0837
0.0655	0.0820
0.0645	0.0810
0.0634	0.0808
0.0626	0.0779
0.0620	0.0776
0.0608	0.0772
0.0599	0.0743
0.0589	0.0730
0.0578	0.0711
0.0567	0.0694
0.0556	0.0679
0.0546	0.0661
0.0537	0.0653
0.0526	0.0632
0.0518	0.0622
0.0510	0.0613
0.0503	0.0605
0.0499	0.0600
0.0496	0.0598
0.0493	0.0599
0.0490	0.0597
0.0488	0.0585
0.0488	0.0590
0.0485	0.0590
0.0483	0.0581
0.0481	0.0580
0.0480	0.0586
0.0479	0.0574
0.0478	0.0573
0.0476	0.0571
0.0474	0.0573
0.0473	0.0573
0.0473	0.0566
0.0471	0.0564
0.0470	0.0570
0.0469	0.0561
0.0469	0.0561
0.0467	0.0566
0.0468	0.0568
0.0466	0.0562
0.0464	0.0566
0.0464	0.0557
0.0463	0.0555
0.0462	0.0568
0.0462	0.0558
0.0461	0.0554
0.0459	0.0552
0.0459	0.0555
0.0458	0.0556
0.0457	0.0550
0.0458	0.0548
0.0455	0.0550
0.0454	0.0544
0.0454	0.0543
0.0454	0.0545
0.0453	0.0544
0.0452	0.0541
0.0451	0.0549
0.0451	0.0545
0.0450	0.0551
0.0450	0.0549
0.0450	0.0551
0.0449	0.0556
0.0449	0.0544
0.0448	0.0542
0.0448	0.0547
0.0448	0.0541
0.0447	0.0542
0.0446	0.0538
0.0446	0.0538
0.0446	0.0538
0.0446	0.0544
0.0445	0.0541
0.0445	0.0539
0.0444	0.0541
0.0444	0.0539
0.0444	0.0533
0.0443	0.0539
0.0443	0.0535
0.0442	0.0532
0.0442	0.0531
0.0442	0.0534
0.0442	0.0533
0.0441	0.0539
0.0441	0.0534
0.0441	0.0534
0.0440	0.0534
0.0440	0.0529
0.0440	0.0531
0.0439	0.0533
0.0440	0.0536
0.0440	0.0532
0.0439	0.0528
0.0439	0.0526
0.0440	0.0528
0.0439	0.0528
0.0439	0.0530
0.0438	0.0528
0.0437	0.0530
0.0437	0.0526
