               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097604,            0.030773,            0.024777,            0.036297,             0.21154,            0.039517,            0.010053,            0.078378,             0.01918,            0.015825,           0.0032946,           0.0032946,            0.070349
                   1,            0.071348,            0.024958,            0.013261,             0.33548,              0.6859,             0.41996,             0.13588,            0.073464,            0.012648,           0.0052735,           0.0065842,           0.0065842,            0.040305
                   2,            0.066705,            0.019942,           0.0068305,             0.41423,             0.79915,             0.48975,                0.19,             0.05439,             0.01175,           0.0033197,           0.0098298,           0.0098298,            0.010217
                   3,            0.055577,            0.017173,           0.0043172,             0.82403,             0.90503,             0.93203,             0.43072,            0.048592,           0.0097749,           0.0022344,            0.009802,            0.009802,            0.009802
                   4,            0.044945,            0.015384,           0.0031319,             0.84037,             0.95757,             0.95415,              0.5989,            0.034948,           0.0091557,           0.0020171,            0.009802,            0.009802,            0.009802
                   5,            0.040184,            0.014577,           0.0025457,             0.97697,              0.9682,             0.98504,             0.69302,            0.028996,             0.00878,           0.0031052,            0.009736,            0.009736,            0.009736
                   6,            0.035839,            0.013696,           0.0023208,             0.95975,             0.98945,             0.97954,             0.62368,            0.030188,             0.00819,           0.0015969,             0.00967,             0.00967,             0.00967
                   7,            0.034449,            0.013515,           0.0020059,             0.96855,             0.98484,             0.98031,             0.71065,            0.026361,           0.0078887,           0.0014222,            0.009604,            0.009604,            0.009604
                   8,            0.032864,            0.013039,           0.0018297,             0.98216,             0.99344,             0.97925,             0.68347,            0.026185,           0.0076573,           0.0012628,            0.009538,            0.009538,            0.009538
                   9,            0.030752,            0.012481,           0.0015655,             0.97714,             0.98763,             0.98547,             0.64144,            0.030787,           0.0081698,           0.0014036,            0.009472,            0.009472,            0.009472
                  10,            0.030577,            0.012839,           0.0016491,             0.98029,             0.98946,             0.98981,             0.74443,              0.0235,           0.0078476,           0.0021287,            0.009406,            0.009406,            0.009406
                  11,            0.028478,              0.0124,           0.0016165,             0.97872,              0.9903,             0.99068,             0.75017,            0.022312,           0.0073614,           0.0011331,             0.00934,             0.00934,             0.00934
                  12,            0.028433,            0.012007,           0.0014478,             0.98321,             0.98504,             0.98584,             0.72297,            0.023463,           0.0073753,           0.0011196,            0.009274,            0.009274,            0.009274
                  13,            0.026862,            0.011816,           0.0013031,             0.98445,             0.98374,             0.98929,             0.75129,            0.021161,           0.0071352,           0.0011343,            0.009208,            0.009208,            0.009208
                  14,            0.026711,            0.012243,           0.0012593,             0.97837,             0.99481,             0.99096,             0.72683,             0.02147,            0.007233,           0.0009548,            0.009142,            0.009142,            0.009142
                  15,            0.025595,            0.011399,           0.0011787,             0.97151,             0.99282,             0.99119,             0.73994,            0.025361,           0.0072628,           0.0010132,            0.009076,            0.009076,            0.009076
                  16,            0.024969,            0.011491,            0.001248,             0.97779,             0.99359,             0.99199,             0.75821,              0.0213,           0.0069147,          0.00092627,             0.00901,             0.00901,             0.00901
                  17,             0.02407,            0.011027,           0.0012262,             0.97991,             0.99033,             0.99244,             0.77299,            0.020063,           0.0067407,          0.00096076,            0.008944,            0.008944,            0.008944
                  18,            0.025211,            0.011425,           0.0011158,             0.97211,             0.99133,             0.99338,             0.73724,            0.022789,           0.0072379,          0.00086724,            0.008878,            0.008878,            0.008878
                  19,            0.023493,            0.011063,           0.0011419,             0.97917,             0.99573,             0.99378,             0.77995,            0.019626,           0.0065766,          0.00082781,            0.008812,            0.008812,            0.008812
