               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092722,            0.029171,            0.024285,              0.5785,             0.26282,             0.11183,            0.029143,            0.090603,            0.018085,            0.013428,           0.0032946,           0.0032946,            0.070349
                   1,             0.06759,            0.023076,            0.010993,             0.25887,             0.64103,             0.41307,             0.12893,            0.070199,            0.010851,           0.0038842,           0.0065623,           0.0065623,            0.040283
                   2,            0.061703,            0.017999,           0.0053208,             0.33744,             0.86111,             0.37444,             0.18468,            0.062867,            0.010165,           0.0026739,            0.009764,            0.009764,            0.010152
                   3,            0.052331,            0.016282,           0.0039486,             0.61642,             0.91453,             0.81542,             0.39501,            0.052058,           0.0092889,           0.0016046,            0.009703,            0.009703,            0.009703
                   4,              0.0407,            0.014474,           0.0026595,             0.96304,             0.96434,             0.98482,             0.62502,            0.033752,           0.0082852,            0.001607,            0.009703,            0.009703,            0.009703
                   5,            0.037228,            0.013335,            0.002272,             0.97596,             0.98385,             0.99185,              0.6493,            0.030482,           0.0078612,            0.001576,            0.009604,            0.009604,            0.009604
                   6,            0.034487,            0.012819,           0.0020208,             0.97032,             0.98295,             0.99192,             0.69338,            0.028355,           0.0076275,           0.0014676,            0.009505,            0.009505,            0.009505
                   7,            0.032113,             0.01223,           0.0017397,             0.97808,             0.99287,             0.99261,              0.7095,            0.024002,           0.0073062,           0.0012933,            0.009406,            0.009406,            0.009406
                   8,            0.030142,            0.012081,           0.0015546,             0.97884,             0.98902,             0.99277,             0.75099,            0.024608,           0.0071952,           0.0011677,            0.009307,            0.009307,            0.009307
                   9,            0.028178,            0.011722,           0.0015971,             0.97585,             0.99545,             0.99092,             0.74647,            0.022392,           0.0068868,           0.0010388,            0.009208,            0.009208,            0.009208
                  10,            0.028564,            0.011726,           0.0014065,             0.96756,              0.9796,             0.99322,             0.71912,            0.027486,           0.0071261,           0.0010648,            0.009109,            0.009109,            0.009109
                  11,            0.025115,            0.011319,           0.0014822,             0.97906,             0.98906,             0.99349,             0.72434,            0.023104,           0.0069112,           0.0011448,             0.00901,             0.00901,             0.00901
                  12,            0.026756,            0.011381,           0.0013162,             0.98186,             0.98669,             0.98924,             0.74974,            0.020441,           0.0071262,           0.0010601,            0.008911,            0.008911,            0.008911
                  13,              0.0247,            0.011048,           0.0012846,             0.97842,             0.99258,              0.9942,             0.76552,            0.020071,           0.0065762,           0.0011301,            0.008812,            0.008812,            0.008812
                  14,             0.02495,            0.010627,           0.0011981,             0.98614,             0.98932,             0.99418,             0.76303,            0.019451,           0.0066711,          0.00099715,            0.008713,            0.008713,            0.008713
                  15,            0.023799,            0.010456,           0.0011262,             0.98624,             0.98929,             0.99305,              0.7775,            0.020031,           0.0066158,          0.00093827,            0.008614,            0.008614,            0.008614
                  16,            0.022631,            0.010372,           0.0011768,             0.98438,             0.98671,             0.99282,             0.79003,             0.02013,           0.0065914,           0.0008691,            0.008515,            0.008515,            0.008515
                  17,            0.023126,            0.010537,            0.001101,             0.98863,             0.98464,             0.99101,               0.793,             0.01961,           0.0072319,          0.00094663,            0.008416,            0.008416,            0.008416
                  18,            0.022411,            0.010098,           0.0011095,             0.98214,             0.99145,             0.99414,             0.79693,            0.018331,           0.0064304,          0.00079205,            0.008317,            0.008317,            0.008317
                  19,            0.021282,           0.0098177,            0.001055,             0.98294,             0.98708,             0.99366,             0.79146,            0.018208,           0.0067818,          0.00088476,            0.008218,            0.008218,            0.008218
                  20,            0.020394,            0.009909,           0.0010387,             0.98182,             0.98568,             0.99408,             0.80899,            0.018114,           0.0062832,          0.00077566,            0.008119,            0.008119,            0.008119
                  21,             0.02095,           0.0099271,           0.0009793,             0.97847,             0.99295,             0.99369,              0.7972,            0.018629,           0.0062477,          0.00088879,             0.00802,             0.00802,             0.00802
                  22,            0.021367,           0.0096718,          0.00093945,             0.98626,              0.9835,             0.99043,             0.78152,            0.019778,           0.0066831,          0.00073819,            0.007921,            0.007921,            0.007921
                  23,            0.021121,           0.0099688,          0.00093059,             0.98358,             0.98852,             0.99411,              0.7958,            0.018368,           0.0063289,          0.00071066,            0.007822,            0.007822,            0.007822
                  24,             0.02002,           0.0094786,          0.00083101,             0.98536,             0.98419,             0.98997,             0.78376,            0.019648,           0.0065622,          0.00073632,            0.007723,            0.007723,            0.007723
                  25,            0.019652,           0.0096109,          0.00083994,             0.98715,              0.9843,             0.99416,             0.80549,            0.017328,           0.0064214,           0.0007319,            0.007624,            0.007624,            0.007624
