               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092413,             0.02919,            0.024216,             0.72249,             0.29274,             0.27182,            0.086452,             0.06498,            0.019861,            0.013463,           0.0032946,           0.0032946,            0.070349
                   1,            0.066581,            0.023051,            0.010841,             0.49441,             0.75545,             0.63909,              0.2462,            0.057098,            0.011598,           0.0042463,           0.0065842,           0.0065842,            0.040305
                   2,            0.059853,            0.018207,           0.0053268,             0.67232,             0.75641,             0.70756,             0.36404,             0.05454,           0.0096448,            0.003123,           0.0098298,           0.0098298,            0.010217
                   3,             0.05101,            0.015776,           0.0038216,             0.69291,             0.91286,             0.87071,             0.47768,            0.038184,           0.0090254,           0.0017877,            0.009802,            0.009802,            0.009802
                   4,            0.041571,            0.014574,           0.0027213,             0.85076,             0.94063,             0.95232,             0.64138,            0.034782,           0.0085614,           0.0017605,            0.009802,            0.009802,            0.009802
                   5,            0.037041,            0.013362,           0.0023422,             0.97666,              0.9835,             0.98882,             0.64405,            0.032766,           0.0080979,           0.0016166,            0.009736,            0.009736,            0.009736
                   6,            0.034978,            0.012935,           0.0020436,             0.96797,             0.99145,             0.99277,             0.70043,            0.027117,           0.0076365,            0.001306,             0.00967,             0.00967,             0.00967
                   7,            0.030111,            0.012072,           0.0017395,              0.9628,             0.98301,             0.98959,             0.74507,            0.022751,            0.007325,           0.0011958,            0.009604,            0.009604,            0.009604
                   8,            0.030445,            0.012066,           0.0017016,               0.973,             0.98494,             0.99157,             0.71388,            0.025452,           0.0073558,           0.0013757,            0.009538,            0.009538,            0.009538
                   9,            0.028723,            0.011856,           0.0014927,             0.97064,             0.98504,             0.98887,             0.72878,            0.023819,           0.0070737,           0.0011213,            0.009472,            0.009472,            0.009472
